,Country,Indicator,2018
122,Mali,"Preprimary education, duration (years)",3.0
123,Malta,"Preprimary education, duration (years)",
124,Marshall Islands,"Preprimary education, duration (years)",2.0
125,Mauritania,"Preprimary education, duration (years)",6.0
126,Mauritius,"Preprimary education, duration (years)",3.0
127,Mexico,"Preprimary education, duration (years)",6.0
128,"Micronesia, Fed. Sts.","Preprimary education, duration (years)",3.0
129,Moldova,"Preprimary education, duration (years)",6.0
130,Monaco,"Preprimary education, duration (years)",3.0
131,Mongolia,"Preprimary education, duration (years)",4.0
132,Montenegro,"Preprimary education, duration (years)",5.0
133,Morocco,"Preprimary education, duration (years)",5.0
134,Mozambique,"Preprimary education, duration (years)",3.0
135,Myanmar,"Preprimary education, duration (years)",5.0
136,Namibia,"Preprimary education, duration (years)",
137,Nauru,"Preprimary education, duration (years)",3.0
138,Nepal,"Preprimary education, duration (years)",2.0
139,Netherlands,"Preprimary education, duration (years)",3.0
140,New Caledonia,"Preprimary education, duration (years)",
141,New Zealand,"Preprimary education, duration (years)",5.0
142,Nicaragua,"Preprimary education, duration (years)",6.0
143,Niger,"Preprimary education, duration (years)",3.0
144,Nigeria,"Preprimary education, duration (years)",5.0
145,North Macedonia,"Preprimary education, duration (years)",5.0
146,Northern Mariana Islands,"Preprimary education, duration (years)",
147,Norway,"Preprimary education, duration (years)",5.0
148,Oman,"Preprimary education, duration (years)",6.0
149,Pakistan,"Preprimary education, duration (years)",2.0
150,Palau,"Preprimary education, duration (years)",3.0
151,Panama,"Preprimary education, duration (years)",6.0
152,Papua New Guinea,"Preprimary education, duration (years)",4.0
153,Paraguay,"Preprimary education, duration (years)",5.0
154,Peru,"Preprimary education, duration (years)",6.0
155,Philippines,"Preprimary education, duration (years)",1.0
156,Poland,"Preprimary education, duration (years)",4.0
157,Portugal,"Preprimary education, duration (years)",
158,Puerto Rico,"Preprimary education, duration (years)",6.0
159,Qatar,"Preprimary education, duration (years)",6.0
160,Romania,"Preprimary education, duration (years)",6.0
161,Russian Federation,"Preprimary education, duration (years)",6.0
162,Rwanda,"Preprimary education, duration (years)",6.0
163,Samoa,"Preprimary education, duration (years)",2.0
164,San Marino,"Preprimary education, duration (years)",6.0
165,Sao Tome and Principe,"Preprimary education, duration (years)",3.0
166,Saudi Arabia,"Preprimary education, duration (years)",4.0
167,Senegal,"Preprimary education, duration (years)",3.0
168,Serbia,"Preprimary education, duration (years)",6.0
169,Seychelles,"Preprimary education, duration (years)",2.0
170,Sierra Leone,"Preprimary education, duration (years)",3.0
171,Singapore,"Preprimary education, duration (years)",6.0
172,Sint Maarten (Dutch part),"Preprimary education, duration (years)",6.0
173,Slovak Republic,"Preprimary education, duration (years)",3.0
174,Slovenia,"Preprimary education, duration (years)",5.0
175,Solomon Islands,"Preprimary education, duration (years)",3.0
176,Somalia,"Preprimary education, duration (years)",3.0
177,South Africa,"Preprimary education, duration (years)",7.0
178,South Sudan,"Preprimary education, duration (years)",3.0
179,Spain,"Preprimary education, duration (years)",6.0
180,Sri Lanka,"Preprimary education, duration (years)",2.0
181,St. Kitts and Nevis,"Preprimary education, duration (years)",4.0
182,St. Lucia,"Preprimary education, duration (years)",4.0
183,St. Martin (French part),"Preprimary education, duration (years)",
184,St. Vincent and the Grenadines,"Preprimary education, duration (years)",2.0
185,Sudan,"Preprimary education, duration (years)",2.0
186,Suriname,"Preprimary education, duration (years)",2.0
187,Sweden,"Preprimary education, duration (years)",6.0
188,Switzerland,"Preprimary education, duration (years)",2.0
189,Syrian Arab Republic,"Preprimary education, duration (years)",3.0
190,Tajikistan,"Preprimary education, duration (years)",4.0
191,Tanzania,"Preprimary education, duration (years)",2.0
192,Thailand,"Preprimary education, duration (years)",5.0
193,Timor-Leste,"Preprimary education, duration (years)",3.0
194,Togo,"Preprimary education, duration (years)",3.0
195,Tonga,"Preprimary education, duration (years)",2.0
196,Trinidad and Tobago,"Preprimary education, duration (years)",2.0
197,Tunisia,"Preprimary education, duration (years)",3.0
198,Turkey,"Preprimary education, duration (years)",5.0
199,Turkmenistan,"Preprimary education, duration (years)",5.0
200,Turks and Caicos Islands,"Preprimary education, duration (years)",2.0
201,Tuvalu,"Preprimary education, duration (years)",3.0
202,Uganda,"Preprimary education, duration (years)",3.0
203,Ukraine,"Preprimary education, duration (years)",5.0
204,United Arab Emirates,"Preprimary education, duration (years)",6.0
205,United Kingdom,"Preprimary education, duration (years)",4.0
206,United States,"Preprimary education, duration (years)",
207,Uruguay,"Preprimary education, duration (years)",6.0
208,Uzbekistan,"Preprimary education, duration (years)",4.0
209,Vanuatu,"Preprimary education, duration (years)",
210,"Venezuela, RB","Preprimary education, duration (years)",5.0
211,Vietnam,"Preprimary education, duration (years)",6.0
212,Virgin Islands (U.S.),"Preprimary education, duration (years)",
213,West Bank and Gaza,"Preprimary education, duration (years)",2.0
214,"Yemen, Rep.","Preprimary education, duration (years)",6.0
215,Zambia,"Preprimary education, duration (years)",4.0
216,Zimbabwe,"Preprimary education, duration (years)",2.0
